IDNO | PAYMENT_NO | RefReceiptNO | R_DATE | R_MONEY | R_BANK | R_PRNDATE | PayType
110-01001 | 12 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01001 | 13 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01001 | 14 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01001 | 15 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01004 | 35 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01004 | 36 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01004 | 37 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01005 | 33 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01005 | 34 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01005 | 35 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01005 | 36 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01005 | 37 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01010 | 35 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01019 | 19 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01032 | 34 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01036 | 43 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01045 | 29 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01045 | 30 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01045 | 31 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01045 | 32 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01045 | 33 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01048 | 23 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01048 | 24 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01048 | 25 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01049 | 26 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01049 | 27 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01060 | 48 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01063 | 48 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01072 | 16 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01072 | 17 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01080 | 22 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01080 | 23 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-01082 | 36 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02001 | 36 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02012 | 10 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02012 | 7 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02012 | 8 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02012 | 9 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02013 | 48 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02016 | 19 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02016 | 20 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02016 | 21 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02017 | 46 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
110-02017 | 47 | Invalid_RefReceiptNO | 1900/01/01 | Invalid_R_MONEY | Invalid_R_BANK | 1900/01/01 | Invalid_PayType
